554111唯一合格女   06 999999902    171129191033192850000100049    2 10000650010201011                                                                                                                                                                    00020102039702049802980005010103040096040104040496990302300302           679999999999999999999999999999999999990199                                        0201
554118唯一合格男   06 999999902    171129191041192520000104502020 2 10000172010101011                                                                                                                                                                    11020101030302040402010403010198040096020401030401029902510602           679999999999999999999999999999999999990199                                        0101
554128唯一合格女    2 999999902    171203203448204624000100112    2 30000008010201011                                                                                                                                                                    13029604030301020201980304030301029803020196030102029901420502           639999999999999999999999999999039999999999                                        0201
554138唯一合格女    2 999999902    171129191118193929000103303053 2 30000019010201011                                                                                                                                                                    13029602039802979598010305029898980303029803030207990802510702           639999999999999999999999999999119999999999                                        0201
554142唯一合格女   03 999999902    171204190309191132000106252012 2 30000028010201011                                                                                                                                                                    00020204020302970202040702030401010404020401970196990401680602           159999999999999999990599999999999999999999                                        0201
554162最年輕的女   08 999999902    171203212517213736000100107    2 10000100010401041                                                                                                                                                                    00029803039802979802020504020401010101010102030207990801700602           139999999999999901999999999999999999999999                                        0201
554170唯一合格女   04 999999902    171129212550213841000100096    2 10000176010201012                                                                                                                                                                    12020202010303980202030404040301010503020403020298990801640502           079999991699999999999999999999999999999999                                        0201
554186唯一合格女   03 999999902    171129191307192809000100101    1 30000116010403011                                                                                                                                                                    01020101030202040402020006010103040000019802020416990302520401           059999059999999999999999999999999999999999                                        0201
554195唯一合格男   08 999999902    171129191338193840000106202034 1 30000008010101011                                                                                                                                                                    12020102030202020302030405040402020605041103030307990401860402           149999999999999999019999999999999999999999                                        0101
554220最年輕的女  042 999999902    171203191147192238000100044    2 10001012010402041                                                                                                                                                                    12020102030302040202030505020202020005020204020319990802670602           669999999999999999999999999999999999039999                                        0201
554249唯一合格男    8 999999902    171129191511192303000105202054 2 10000140010201012                                                                                                                                                                    00020204030302010201030504040401011005020504020102019902650401           659999999999999999999999999999999914999999                                        0101
554255唯一合格女   06 999999902    171204190424192057000105405085 2 30000020010302011                                                                                                                                                                    00010102039802030202010506010397020307020196040307990802480604           679999999999999999999999999999999999990199                                        0201
554277唯一合格女   03 999999902    17112919161019235600087503234  2 10003276010201011                                                                                                                                                                    03020103030302030302030404950403030805030403010202029901780603           689999999999999999999999999999999999999902                                        0201
554288唯一合格男    2 999999902    171129191631193719000105202044 2 30000004010101011                                                                                                                                                                    01029603030296020402040604020402010805010802020202019901480702           639999999999999999999999999999039999999999                                        0101
554293唯一合格男    2 999999902    171129191645192706000100067    2 10000240010101011                                                                                                                                                                    02020103030202030202020605020302010503030203020221019901830602           659999999999999999999999999999999903999999                                        0101
554305唯一合格女   03 999999902    171205201328202242000106208077 2 30000012010201011                                                                                                                                                                    00020103030302040302020705010496030308030402030307990802780602           639999999999999999999999999999069999999999                                        0201
554307最年長的女   04 999999902    171204184128185145000103203003 2 10000164010402012                                                                                                                                                                    11010101030302040402970503010197040010020402020407990802510402           079999990299999999999999999999999999999999                                        0201
554314唯一合格男    2 999999902    171203191053192415000100101    1 30000116010201012                                                                                                                                                                    02020102020302030202030706020302020005039704030398990801310202           179999999999999999999999019999999999999999                                        0104
554317唯一合格女  042 999999902    171129191757192643000100080    1 10000315010201011                                                                                                                                                                    00020101020303040302010405010203010000020401030307990802730606           669999999999999999999999999999999999249999                                        0201
554331最年輕的女   06 9999999      1711291939201939200000000       000000000010301031                                                                                                                                                                    01019704030202020302010405010403020000040104040407990802570402           679999999999999999999999999999999999992999                                        0201
554353唯一合格女   06 999999902    171129191932193133000104254012 1 20000116010302011                                                                                                                                                                    13020102030202030302020506010203960006039803040307990302540502           679999999999999999999999999999999999993699                                        0201
554359唯一合格女   07 999999902    171129200640201448000100096    2 10000176010302011                                                                                                                                                                    00020203010303030202040505030401010500020103030401029901580502           649999999999999999999999999999992099999999                                        0201
554381最年長的女  042 999999902    171129195248195629000106301086 1 30000012010401012                                                                                                                                                                    00020103020202040202010305030302020202030202040207990802480603           669999999999999999999999999999999999079999                                        0201
554422唯一合格女    2 999999902    171129192221193958000106206003 1 30000012010100011                                                                                                                                                                    00019797020202979502980505029898970598039898030307999702550603           639999999999999999999999999999089999999999                                        0201
